Subject,ProblemName,PreviouslySolved,Solve1,Solve2,Solve3,FullyUnderstood,,,
Arrays&Hashing,Contains Duplicate,Y,12.12.2023,,,,,,
Arrays&Hashing,Valid Anagram,Y,,,,,,,
Arrays&Hashing,Two Sum,Y,,,,,,,
Arrays&Hashing,Group Anagrams,Y,,,,,,,
Arrays&Hashing,Top K Frequent Elements,Y,,,,,,,
Arrays&Hashing,Product of Array Except Self,N,,,,,,,
Arrays&Hashing,Valid Sudoku,N,,,,,,,
Arrays&Hashing,Encode and Decode Strings,N,,,,,,,
Arrays&Hashing,Longest Consecutive Sequence,Y,,,,,,,
Two Pointers,Valid Palindrome,Y,,,,,,,
Two Pointers,Two Sum II Input Array is Sorted,N,,,,,,,
Two Pointers,3Sum,Y,,,,,,,
Two Pointers,Container With Most Water,N,,,,,,,
Two Pointers,Trapping Rain Water,N,,,,,,,
Sliding Window,Best Time to Buy and Sell Stock,Y,,,,,,,
Sliding Window,Longest Substring Without Repeating Characters,N,,,,,,,
Sliding Window,Longest Repeating Character Replacement,N,,,,,,,
Sliding Window,Permutation In String,N,,,,,,,
Sliding Window,Minimum Window Substring,N,,,,,,,
Sliding Window,Sliding Window Maximum,N,,,,,,,
Stack,Valid Parentheses,Y,,,,,,,
Stack,Min Stack,N,,,,,,,
Stack,Evaluate Reverse Polish Notation,N,,,,,,,
Stack,Generate Parentheses,N,,,,,,,
Stack,Daily Temperatures,N,,,,,,,
Stack,Car Fleet,N,,,,,,,
Stack,Largest Rectangle in Histogram,N,,,,,,,
Binary Search,Binary Search,N,,,,,,,
Binary Search,Search in a 2D Matrix,N,,,,,,,
Binary Search,Koko Eating Bananas,N,,,,,,,
Binary Search,Find Minimum in Rotated Sorted Array,N,,,,,,,
Binary Search,Search in Rotated Sorted Array,N,,,,,,,
Binary Search,Time Based Key Value Store,N,,,,,,,
Binary Search,Median of Two Sorted Arrays,N,,,,,,,
Linked List,Reverse Linked List,N,,,,,,,
Linked List,Merge Two Sorted Lists,N,,,,,,,
Linked List,Reorder List,N,,,,,,,
Linked List,Remove Nth Node from End of List,N,,,,,,,
Linked List,Copy List with Random Pointer,N,,,,,,,
Linked List,Add Two Numbers,N,,,,,,,
Linked List,Linked List Cycle,N,,,,,,,
Linked List,Find the Duplicate Number,N,,,,,,,
Linked List,LRU Cache,N,,,,,,,
Linked List,Merge K Sorted Lists,N,,,,,,,
Linked List,Reverse Nodes in K Group,N,,,,,,,
Trees,Invert Binary Tree,N,,,,,,,
Trees,Maximum Depth of Binary Tree,N,,,,,,,
Trees,Diameter of Binary Tree,N,,,,,,,
Trees,Balanced Binary Tree,N,,,,,,,
Trees,Same Tree,N,,,,,,,
Trees,Subtree of Another Tree,N,,,,,,,
Trees,Lowest Common Ancestor of a Binary Search Tree,N,,,,,,,
Trees,Binary Tree Level Order Traversal,N,,,,,,,
Trees,Binary Tree Right Side View,N,,,,,,,
Trees,Count Good Nodes in Binary Tree,N,,,,,,,
Trees,Validate Binary Search Tree,N,,,,,,,
Trees,Kth Smallest Element in a Bst,N,,,,,,,
Trees,Construct Binary Tree from Preorder and Inorder Traversal,N,,,,,,,
Trees,Binary Tree Maximum Path Sum,N,,,,,,,
Trees,Serialize and Deserialize Binary Tree,N,,,,,,,
Heap / Priority Queue,Kth Largest Element in a Stream,N,,,,,,,
Heap / Priority Queue,Last Stone Weight,N,,,,,,,
Heap / Priority Queue,K Closest Points  to Origin,N,,,,,,,
Heap / Priority Queue,Kth Largest Element in an Array,N,,,,,,,
Heap / Priority Queue,Task Scheduler,N,,,,,,,
Heap / Priority Queue,Design Twitter,N,,,,,,,
Heap / Priority Queue,Find Median from Data Stream,N,,,,,,,
Graphs,Number of Islands,N,,,,,,,
Graphs,Clone Graph,N,,,,,,,
Graphs,Max Area of Island,N,,,,,,,
Graphs,Pacific Atlantic Water Flow,N,,,,,,,
Graphs,Surrounded Regions,N,,,,,,,
Graphs,Rotting Oranges,N,,,,,,,
Graphs,Walls and Gates,N,,,,,,,
Graphs,Course Schedule,N,,,,,,,
Graphs,Course Schedule II,N,,,,,,,
Graphs,Redundant Connection,N,,,,,,,
Graphs,Number of Connected Components in an Undirected Graph,N,,,,,,,
Graphs,Graph Valid Tree,N,,,,,,,
Graphs,Word Ladder,N,,,,,,,
Advanced Graphs,Reconstruct Itinerary,N,,,,,,,
Advanced Graphs,Min Cost to Connect All Points,N,,,,,,,
Advanced Graphs,Network Delay Time,N,,,,,,,
Advanced Graphs,Swim in Rising Water,N,,,,,,,
Advanced Graphs,Alien Dictionary,N,,,,,,,
Advanced Graphs,Cheapest Flights Within K Stops,N,,,,,,,
1-D DP,Climbing Stairs,N,,,,,,,
1-D DP,Min Cost Climbing Stairs,N,,,,,,,
1-D DP,House Robber,N,,,,,,,
1-D DP,House Robber II,N,,,,,,,
1-D DP,Longest Palindromic Substring,N,,,,,,,
1-D DP,Palindromic Substrings,N,,,,,,,
1-D DP,Decode Ways,N,,,,,,,
1-D DP,Coin Change,N,,,,,,,
1-D DP,Maximum Product Subarray,N,,,,,,,
1-D DP,Word Break,N,,,,,,,
1-D DP,Longest Increasing Subsequence,N,,,,,,,
1-D DP,Partition Equal Subset Sum,N,,,,,,,
,,,,,,,,,
